ID,EMAIL,FIRSTNAME,LASTNAME,COUNTRY,CREATION,DELIVERYDATE,orderstatus_CODE,imageurl
d3f7a7b4-3d3a-4f56-a3b3-5d3c3c1c5a1f,alice.smith@mail.com,Alice,Smith,USA,2023-04-17,2023-05-12,O,https://example.com/images/alice.jpg
52c1790e-7921-4d6c-bd29-f9a5d28b80f4,bob.brown@mail.com,Bob,Brown,Germany,2023-11-05,2023-11-22,O,https://example.com/images/bob.jpg
3e1c1530-2e9c-466b-bf0d-c888d47c0f48,charlie.wilson@mail.com,Charlie,Wilson,France,2024-05-22,2024-06-08,O,https://example.com/images/charlie.jpg
760b69d1-6ee2-47c6-8984-49d6a0c5e530,diana.taylor@mail.com,Diana,Taylor,Spain,2024-01-13,2024-01-26,P,https://example.com/images/diana.jpg
c67cce41-c807-47d4-bc2f-c02fd2a48214,eve.anderson@mail.com,Eve,Anderson,Italy,2023-08-09,2023-08-31,P,https://example.com/images/eve.jpg
a621ed1b-c90a-47c0-91d4-e77a65ab02b4,frank.thomas@mail.com,Frank,Thomas,Canada,2023-03-25,2023-04-03,P,https://example.com/images/frank.jpg
fb6b8e8f-9130-404b-ae25-21b6f8dd3fd0,grace.jackson@mail.com,Grace,Jackson,Brazil,2024-06-02,2024-06-26,C,https://example.com/images/grace.jpg
3f294262-0203-41e5-8806-f014da53e688,hugo.white@mail.com,Hugo,White,Japan,2023-06-14,2023-06-29,C,https://example.com/images/hugo.jpg
c0fdd727-0b9d-4f37-9399-b7fe8ee5bd5e,isabel.harris@mail.com,Isabel,Harris,Australia,2023-10-07,2023-10-31,C,https://example.com/images/isabel.jpg
8e922c85-4f96-4b7b-b2f4-e52a334ea431,john.martin@mail.com,John,Martin,India,2024-02-19,2024-03-10,O,https://example.com/images/john.jpg
